id,sport,playerName,teamName,brand,cardNumber,year,notes
1,BASEBALL,Nolan Ryan,Mets,Topps,177,1968,Rookie card
2,BASEBALL,Mickey Mantle,New York Yankees,Topps,1,1968,Hall of Famer
3,BASEBALL,Lou Brock,St. Louis Cardinals,Topps,2,1968,Hall of Famer
4,BASEBALL,Carl Yastrzemski,Boston Red Sox,Topps,3,1968,Hall of Famer
5,BASEBALL,Hank Aaron,Atlanta Braves,Topps,4,1968,Hall of Famer
6,BASEBALL,Roberto Clemente,Pittsburgh Pirates,Topps,5,1968,Hall of Famer
7,BASEBALL,Willie Mays,San Francisco Giants,Topps,6,1968,Hall of Famer
8,BASEBALL,Reggie Jackson,Oakland Athletics,Topps,7,1968,Future Hall of Famer
9,BASEBALL,Nolan Ryan,New York Mets,Topps,8,1968,Future Hall of Famer
10,BASEBALL,Pete Rose,Cincinnati Reds,Topps,9,1968,Hall of Famer
11,BASEBALL,Tom Seaver,New York Mets,Topps,10,1968,Hall of Famer
12,BASEBALL,Don Drysdale,Los Angeles Dodgers,Topps,11,1968,Hall of Famer
13,BASEBALL,Frank Robinson,Cincinnati Reds,Topps,12,1968,Hall of Famer
14,BASEBALL,Yogi Berra,New York Yankees,Topps,13,1968,Hall of Famer
15,BASEBALL,Jim Palmer,Baltimore Orioles,Topps,14,1968,Hall of Famer
16,BASEBALL,Johnny Bench,Cincinnati Reds,Topps,15,1968,Hall of Famer
17,BASEBALL,Willie McCovey,San Francisco Giants,Topps,16,1968,Hall of Famer
18,BASEBALL,Al Kaline,Detroit Tigers,Topps,17,1968,Hall of Famer
19,BASEBALL,Bob Clemente,Pittsburgh Pirates,Topps,18,1968,Hall of Famer
20,BASEBALL,Joe Torre,St. Louis Cardinals,Topps,19,1968,Hall of Famer
21,BASEBALL,Jim Bunning,Philadelphia Phillies,Topps,20,1968,Hall of Famer
22,BASEBALL,Ken Boyer,St. Louis Cardinals,Topps,21,1968,All-Star
23,BASEBALL,Mike Shannon,St. Louis Cardinals,Topps,22,1968,All-Star
24,BASEBALL,Jim Fregosi,California Angels,Topps,23,1968,All-Star
25,BASEBALL,Al Ferrara,San Diego Padres,Topps,24,1968,All-Star
26,BASEBALL,Paul Blair,Baltimore Orioles,Topps,25,1968,Gold Glove Winner
27,BASEBALL,Mike Epstein,Washington Senators,Topps,26,1968,All-Star
28,BASEBALL,Tommy John,Chicago White Sox,Topps,27,1968,All-Star
29,BASEBALL,Ed Kirkpatrick,Kansas City Royals,Topps,28,1968,All-Star
30,BASEBALL,Joe Morgan,Houston Astros,Topps,29,1968,Hall of Famer
31,BASEBALL,George Scott,Boston Red Sox,Topps,30,1968,Gold Glove Winner
32,BASEBALL,Bob Gibson,St. Louis Cardinals,Topps,31,1968,Hall of Famer
33,BASEBALL,Roberto Alomar,New York Mets,Topps,32,1968,Future Hall of Famer
34,BASEBALL,Jim Gosger,Boston Red Sox,Topps,33,1968,All-Star
35,BASEBALL,Don Buford,Baltimore Orioles,Topps,34,1968,All-Star
36,BASEBALL,Steve Carlton,Philadelphia Phillies,Topps,35,1968,Hall of Famer
37,BASEBALL,Joe Foy,Boston Red Sox,Topps,36,1968,All-Star
38,BASEBALL,Denny McLain,Detroit Tigers,Topps,37,1968,AL Cy Young Winner
39,BASEBALL,Fergie Jenkins,Chicago Cubs,Topps,38,1968,Hall of Famer
40,BASEBALL,Bill Freehan,Detroit Tigers,Topps,39,1968,All-Star
41,BASEBALL,Don Clendenon,New York Mets,Topps,40,1968,All-Star
42,BASEBALL,Dick Allen,Chicago White Sox,Topps,41,1968,All-Star
43,BASEBALL,Jim Kaat,Minnesota Twins,Topps,42,1968,All-Star
44,BASEBALL,Phil Niekro,Atlanta Braves,Topps,43,1968,Hall of Famer
45,BASEBALL,Jackie Jensen,Boston Red Sox,Topps,44,1968,All-Star
46,BASEBALL,Tommy Davis,Los Angeles Dodgers,Topps,45,1968,All-Star
47,BASEBALL,Tommy Harper,Milwaukee Brewers,Topps,46,1968,All-Star
48,BASEBALL,Lee May,Cincinnati Reds,Topps,47,1968,All-Star
49,BASEBALL,Sam McDowell,Cleveland Indians,Topps,48,1968,All-Star
50,BASEBALL,Danny McDevitt,Chicago Cubs,Topps,49,1968,All-Star
51,BASEBALL,Bobby Murcer,New York Yankees,Topps,50,1968,Future Star
52,BASEBALL,Bobby Murcer,New York Yankees,Topps,51,1968,Future Star
53,BASEBALL,Norm Cash,Detroit Tigers,Topps,52,1968,All-Star
54,BASEBALL,Bob Clemente,Pittsburgh Pirates,Topps,53,1968,Hall of Famer
55,BASEBALL,Lou Piniella,Kansas City Royals,Topps,54,1968,Future Star
56,BASEBALL,Ken Harrelson,Chicago White Sox,Topps,55,1968,All-Star
