sport,playerName,teamName,brand,cardNumber,year,count,notes
BASEBALL,Lou Brock,St. Louis Cardinals,Topps,125,1966,4,
BASEBALL,Don Drysdale,Dodgers,Topps,340,1962,1,
BASEBALL,Carl Yastrzemski,Red Sox,Topps,425,1962,1,
BASEBALL,Brooks Robison,,Topps,45,1962,1,
BASEBALL,Matty Alou,,Topps,413,1962,1,
BASEBALL,Lou Brock,,Topps,387,1962,2,Rookie
BASEBALL,Al Kaline,,Topps,150,1962,1,
BASEBALL,Hank Aaron,,Topps,320,1962,2,
BASEBALL,Bob Gibson,,Topps,350,1962,1,
BASEBALL,Joe Torre,,Topps,218,1962,1,
BASEBALL,Willie Mays,,Topps,300,1962,1,
BASEBALL,John Powell,,Topps,99,1962,1,Rookie
BASEBALL,Ed Matthews,,Topps,30,1962,1,
BASEBALL,Hoyt Wilhelm,,Topps,545,1962,1,
BASEBALL,Willie McCovey,,Topps,544,1962,1,
BASEBALL,Bob Clemente,,Topps,10,1962,2,
BASEBALL,Duke Snider,Brookly Dodgers,Topps,150,1956,1,
BASEBALL,Hank Aaron,,Topps,390,1963,2,
BASEBALL,Lou Brock,,Topps,472,1963,1,
BASEBALL,Ernie Banks,,Topps,380,1963,1,
BASEBALL,Roger Maris,,Topps,120,1963,1,
BASEBALL,Bob Gibson,,Topps,415,1963,1,
BASEBALL,Willie McCovey,,Topps,490,1963,1,
BASEBALL,Bob Clemente,,Topps,540,1963,1,
BASEBALL,Duke Snider,,Topps,88,1958,1,
BASEBALL,Mickey Mantle,,Topps,487,1958,1,All star Selection
BASEBALL,Matty Alou,,Topps,327,1961,1,Rookie
BASEBALL,Al Kaline,,Topps,429,1961,1,
BASEBALL,Bob Gibson,,Topps,211,1961,1,
BASEBALL,Hank Aaron,,Topps,415,1961,1,
BASEBALL,Willie Mays,,Topps,150,1961,1,
BASEBALL,Al Kaline,,Topps,360,1959,1,
BASEBALL,Bob Gibson,,Topps,514,1959,1,
BASEBALL,Don Drysdale,,Topps,387,1959,1,
BASEBALL,Whitey Ford,,Topps,430,1959,1,
BASEBALL,Bob Clemente,,Topps,478,1959,1,
BASEBALL,Hank Aaron,,Topps,380,1959,1,
BASEBALL,Ernie Banks,,Topps,350,1959,1,
BASEBALL,Willie Mays,,Topps,50,1959,1,
BASEBALL,Mickey Mantle,,Topps,350,1960,1,
BASEBALL,Bob Gibson,,Topps,73,1960,1,
BASEBALL,Ernie Banks,,Topps,10,1960,1,
BASEBALL,Hank Aaron,,Topps,300,1960,1,
BASEBALL,Willie Mays,,Topps,200,1960,1,
BASEBALL,Bob Clemente,,Topps,326,1960,1,
BASEBALL,Al Kaline,,Topps,50,1960,1,
BASEBALL,Roger Maris,,Topps,377,1960,1,
BASEBALL,Whitey Ford,,Topps,35,1960,1,
BASEBALL,Bob Clemente,,Topps,326,1960,1,
BASEBALL,Carl Yastrzemski,,Topps,148,1960,1,Rookie
BASEBALL,Lou Brock,,Topps,540,1965,1,
BASEBALL,Roger Maris,,Topps,155,1965,1,
BASEBALL,Hank Aaron,,Topps,170,1965,1,
BASEBALL,Bob Clemente,,Topps,160,1965,1,
BASEBALL,Pete Rose,,Topps,207,1965,1,
BASEBALL,Willie Mays,,Topps,250,1965,1,
BASEBALL,Mickey Mantle,,Topps,350,1965,1,
BASEBALL,Ernie Banks,,Topps,510,1965,1,
BASEBALL,Willie Mays,,Topps,150,1964,1,
BASEBALL,Pete Rose,,Topps,125,1964,1,
BASEBALL,Bob Clemente,,Topps,440,1964,1,
BASEBALL,Harmon Killebrew,,Topps,177,1964,1,
BASEBALL,Duke Snider,,Topps,155,1964,1,
BASEBALL,Yogi Berra,,Topps,21,1964,1,Manager
BASEBALL,Hank Aaron,,Topps,300,1964,5,
BASEBALL,Sandy Koufax,,Topps,200,1964,2,
BASEBALL,Bob Gibson,,Topps,460,1964,2,
BASEBALL,Mickey Mantle,,Topps,50,1966,2,
BASEBALL,Hank Aaron,,Topps,500,1966,1,
BASEBALL,Sandy Koufax,,Topps,100,1966,1,
BASEBALL,Pete Rose,,Topps,30,1966,3,
BASEBALL,Joe Morgan,,Topps,195,1966,2,Rookie
BASEBALL,Jim Palmer,,Topps,128,1966,2,
BASEBALL,Mickey Mantle,,Topps,150,1967,2,
BASEBALL,Mickey Mantle,,Topps,280,1968,1,
BASEBALL,Hank Aaron,,Topps,110,1968,2,
BASEBALL,Rod Carew,,Topps,80,1968,1,Rookie
BASEBALL,Willie Mays,,Topps,50,1968,2,
BASEBALL,Tom Seaver,,Topps,581,1967,2,Double with Bill Denehy Rookie Card
BASEBALL,Mickey Mantle,,Topps,500,1969,4,
BASEBALL,Hank Aaron,,Topps,100,1969,2,
BASEBALL,Willie Mays,,Topps,190,1969,1,
BASEBALL,Reggie Jackson,,Topps,260,1969,2,
BASEBALL,Thurman Munson,,Topps,189,1970,2,"Double with Dave McDonald, Rookie"
BASEBALL,Reggie Jackson,,Topps,140,1970,3,
BASEBALL,Willie Mays,,Topps,600,1970,2,
BASEBALL,Reggie Jackson,,Topps,20,1971,5,
BASEBALL,Jesus Alou,,Topps,654,1974,1,Error Card
BASEBALL,Ted Williams,,Fleer,1,1959,2,
BASEBALL,Ted Williams,,Fleer,2,1959,1,
BASEBALL,Ted Williams,,Fleer,3,1959,3,
BASEBALL,Ted Williams,,Fleer,4,1959,2,
BASEBALL,Ted Williams,,Fleer,5,1959,3,
BASEBALL,Ted Williams,,Fleer,6,1959,2,
BASEBALL,Ted Williams,,Fleer,7,1959,2,
BASEBALL,Ted Williams,,Fleer,8,1959,1,
BASEBALL,Ted Williams,,Fleer,9,1959,2,
BASEBALL,Ted Williams,,Fleer,10,1959,3,
BASEBALL,Ted Williams,,Fleer,11,1959,1,
BASEBALL,Ted Williams,,Fleer,12,1959,2,
BASEBALL,Ted Williams,,Fleer,13,1959,1,
BASEBALL,Ted Williams,,Fleer,14,1959,1,
BASEBALL,Ted Williams,,Fleer,15,1959,2,
BASEBALL,Ted Williams,,Fleer,16,1959,3,
BASEBALL,Ted Williams,,Fleer,17,1959,2,
BASEBALL,Ted Williams,,Fleer,18,1959,3,
BASEBALL,Ted Williams,,Fleer,19,1959,2,
BASEBALL,Ted Williams,,Fleer,20,1959,3,
BASEBALL,Ted Williams,,Fleer,21,1959,2,
BASEBALL,Ted Williams,,Fleer,22,1959,3,
BASEBALL,Ted Williams,,Fleer,23,1959,3,
BASEBALL,Ted Williams,,Fleer,24,1959,3,
BASEBALL,Ted Williams,,Fleer,25,1959,2,
BASEBALL,Ted Williams,,Fleer,26,1959,3,
BASEBALL,Ted Williams,,Fleer,27,1959,1,
BASEBALL,Ted Williams,,Fleer,28,1959,2,
BASEBALL,Ted Williams,,Fleer,29,1959,3,
BASEBALL,Ted Williams,,Fleer,30,1959,2,
